counter,name,image,character_gender,character_major_or_minor,character_type,diagnosis,cause_of_death,treatment,actor,single_or_multiple_episodes,season_episode_code,first_episode_title_underscore,first_episode_title_text,last_episode_title_underscore,last_episode_title_text,seasons_array
75,Veronica Kays,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/3/3d/13x21VeronicaKays.png/revision/latest/scale-to-width-down/350?cb=20170511203501,patient,"['Contact dermatitis', 'Pregnancy', 'Advanced pancreatic cancer', 'Spinal met', 'Pulmonary embolus']","['<h3><span class=""mw-headline"" id=""Baby.27s_Birth_and_Her_Death"">Baby\'s Birth and Her Death</span><span class=""editsection""><a href=""/wiki/Veronica_Kays?action=edit&amp;section=5"" title=""Edit Baby&#039;s Birth and Her Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>When she was 34 weeks and 3 days pregnant, Veronica came back to the hospital with back pain, which she\'d had for a week. An MRI showed that the cancer had spread to her spine and she needed to have a c-section that day. Before her surgery, she signed a DNR. Arizona easily delivered her baby, but she developed a clot that went to her lung and she struggled to breathe after the delivery. They said she could rescind her DNR, but she said she was tired and so they just stayed with her while she died. After she was gone, Alex told Jeremy about her death and he cried. <i>(""<a href=""/wiki/Don%27t_Stop_Me_Now"" title=""Don\'t Stop Me Now"">Don\'t Stop Me Now</a>"")</i>\n</p>\n<h2><span class=""mw-headline"" id=""Relationships"">Relationships</span><span class=""editsection""><a href=""/wiki/Veronica_Kays?action=edit&amp;section=6"" title=""Edit Relationships section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h2>\n<h3><span class=""mw-headline"" id=""Familial"">Familial</span><span class=""editsection""><a href=""/wiki/Veronica_Kays?action=edit&amp;section=7"" title=""Edit Familial section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>She and <a href=""/wiki/Jeremy"" title=""Jeremy"">Jeremy</a> have a son together.\n</p>']","['Whipple', 'C-section delivery']",Brigid Brannagh,multiple,['S-13-EP-21'],Roar,Roar,Don%27t_Stop_Me_Now,Don't Stop Me Now,['13']
76,Keith,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/9/96/13x23Keith.png/revision/latest/scale-to-width-down/350?cb=20170515194111,patient,"['Bruising', 'Head laceration', 'Skull fracture', 'Grade III liver laceration']",[],['Stitches'],Casey Thomas Brown,single,['S-13-EP-23'],True_Colors_(Grey%27s_Anatomy),True Colors (Grey's Anatomy),True_Colors_(Grey%27s_Anatomy),True Colors (Grey's Anatomy),['13']
77,Jordan Kenley,mostly_male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/3/31/511JordanKenley.png/revision/latest/scale-to-width-down/350?cb=20130506010017,attending,['No diagnosis available'],[],['No treatment available'],John Sloman,single,['S-5-EP-11'],Wish_You_Were_Here,Wish You Were Here,Wish_You_Were_Here,Wish You Were Here,['5']
78,Vincent Kenner,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/d/d7/5x02VincentKenner.png/revision/latest/scale-to-width-down/350?cb=20160427132745,patient,"['Scalp laceration', 'Depressed skull fracture', 'Abdominal bleed', 'Crush injuries', 'Aortic tear']",[],['Surgery'],No actor listed.,multiple,['S-5-EP-2'],"Dream_a_Little_Dream_of_Me,_Part_1","Dream a Little Dream of Me, Part 1","Dream_a_Little_Dream_of_Me,_Part_2","Dream a Little Dream of Me, Part 2",['5']
80,Daniel Kiefer,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/5/59/12x03DanielKiefer.png/revision/latest/scale-to-width-down/350?cb=20151009020826,patient,"['Hepatoblastoma', 'Jaundice', 'Heart failure', 'Pulmonary failure']",[],['Tumor resection'],No actor listed.,single,['S-12-EP-3'],I_Choose_You,I Choose You,I_Choose_You,I Choose You,['12']
81,Jeffrey King,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/5/53/14x06JeffreyKing.png/revision/latest/scale-to-width-down/350?cb=20171105113217,patient,"['Stage 4A colon cancer', 'Liver metastasis']",[],['ALPPS procedure'],David Chisum,single,['S-14-EP-6'],"Come_on_Down_to_My_Boat,_Baby","Come on Down to My Boat, Baby","Come_on_Down_to_My_Boat,_Baby","Come on Down to My Boat, Baby",['14']
82,Seth Lepik,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/4/48/9x20SethLepik.png/revision/latest/scale-to-width-down/350?cb=20130414113713,patient,['MRSA'],"['<h3><span class=""mw-headline"" id=""Death"">Death</span><span class=""editsection""><a href=""/wiki/Seth_Lepik?action=edit&amp;section=4"" title=""Edit Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>Seth\'s parents planned to have him moved to another hospital, but <a href=""/wiki/Richard_Webber"" title=""Richard Webber"">Richard Webber</a> told them that he was too unstable. Later that day, Seth became unstable and had to be taken back into surgery, despite his parents\' insistence that they didn\'t want him taken back into surgery at GSM. They agreed to allow Richard to operate. Unfortunately, Seth died in the OR. <i>(""<a href=""/wiki/Sleeping_Monster"" title=""Sleeping Monster"">Sleeping Monster</a>"")</i>\n</p>\n<h2><span class=""mw-headline"" id=""Relationships"">Relationships</span><span class=""editsection""><a href=""/wiki/Seth_Lepik?action=edit&amp;section=5"" title=""Edit Relationships section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h2>\n<h3><span class=""mw-headline"" id=""Familial"">Familial</span><span class=""editsection""><a href=""/wiki/Seth_Lepik?action=edit&amp;section=6"" title=""Edit Familial section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>Seth\'s parents came to <a href=""/wiki/Grey_Sloan_Memorial_Hospital"" title=""Grey Sloan Memorial Hospital"">Grey Sloan Memorial Hospital</a> when he became ill. They tried to move him, but <a href=""/wiki/Richard_Webber"" title=""Richard Webber"">Richard Webber</a> told them that he was too unstable to move.\n</p>']","['Arteriovenous shunt', 'Antibiotics', 'Surgery']",Tom Costello,multiple,['S-9-EP-21'],She%27s_Killing_Me,She's Killing Me,Sleeping_Monster,Sleeping Monster,['9']
83,Billy Linneman,mostly_male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/3/38/6x18BillyLinneman.png/revision/latest/scale-to-width-down/350?cb=20130828100622,patient,['Gunshot wounds'],[],['Bandages'],Kinsey McLean,single,['S-6-EP-18'],Suicide_is_Painless,Suicide is Painless,Suicide_is_Painless,Suicide is Painless,['6']
85,Robert Martin,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/9/9f/210RobertMartin.png/revision/latest/scale-to-width-down/350?cb=20130408005531,patient,"['Subdural hemorrhage', 'Delirium', ""Rathke's cleft cyst"", 'Hyponatremia', 'Seizure']",[],"['Hypertonic saline solution', 'Surgery']",Curtis Armstrong,multiple,['S-2-EP-11'],Much_too_Much,Much too Much,Owner_of_a_Lonely_Heart,Owner of a Lonely Heart,['2']
86,Matty,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/d/d9/13x13-9.jpg/revision/latest/scale-to-width-down/350?cb=20170131001310,patient,['Gallstones'],[],"['Laparascopic cholecystectomy', 'Exploratory laparotomy']",Edgar Salas,single,['S-13-EP-13'],It_Only_Gets_Much_Worse,It Only Gets Much Worse,It_Only_Gets_Much_Worse,It Only Gets Much Worse,['13']
87,Griffin McColl,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/0/07/12x14GriffinMcColl.png/revision/latest/scale-to-width-down/350?cb=20160318192314,patient,"['Electrocution', 'Intracranial bleed', 'Re-bleed', 'Memory loss']",[],"['Pacemaker implantation', 'Surgery', 'Ventriculostomy']",Lance Henriksen,single,['S-12-EP-14'],Odd_Man_Out,Odd Man Out,Odd_Man_Out,Odd Man Out,['12']
88,Gretchen McKay,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/2/20/12x18-40.jpg/revision/latest/scale-to-width-down/350?cb=20160415060540,patient,"['Pregnancy', 'Delayed abruption']",[],['C-section delivery'],Linara Washington,single,['S-12-EP-18'],"There%27s_a_Fine,_Fine_Line","There's a Fine, Fine Line","There%27s_a_Fine,_Fine_Line","There's a Fine, Fine Line",['12']
89,Holden McKee,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/0/00/209HoldenMcKee.png/revision/latest/scale-to-width-down/350?cb=20130407232536,patient,"['Minimal consciousness', 'Temporal parietal scalp laceration', 'Epidural hematoma']","['<h3><span class=""mw-headline"" id=""Fall.2C_Awakening.2C_and_Death"">Fall, Awakening, and Death</span><span class=""editsection""><a href=""/wiki/Holden_McKee?action=edit&amp;section=3"" title=""Edit Fall, Awakening, and Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>Sixteen years later, Holden fell in his nursing home while being turned by orderlies and insurance insisted that he be checked out in an ER before he could be returned to the home. While she was examining him and preparing to stitch up a cut on his forehead, Meredith was startled to see him open his eyes and track her. She told Derek what she saw and he was doubtful. Despite his doubts, he examined Holden, who was found to be minimally conscious. Derek gave him amphetamines to wake him up.\n</p><p>They also called his family as they waited for him to wake up. When the family arrived, they discovered that his son was now a teenager and his wife had re-married and was expecting a baby. When they heard that Holden was likely to wake up soon, <a href=""/wiki/Cheryl_Leonard"" title=""Cheryl Leonard"">Cheryl</a> took <a href=""/wiki/Coby_McKee"" title=""Coby McKee"">Coby</a> and left, not wanting Holden to see that they hadn\'t waited for him.\n</p>']","['Residential care', 'Stitches', 'Amphetamines', 'Surgery']",Brian Kerwin,single,['S-2-EP-9'],Thanks_for_the_Memories,Thanks for the Memories,Thanks_for_the_Memories,Thanks for the Memories,['2']
90,Francesca McNeil,andy,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/8/8a/10x20FrancescaMcNeil.png/revision/latest/scale-to-width-down/350?cb=20140419071553,patient,"['Cardiomyopathy', 'Heart failure', 'RAF 1 Mutation']",[],"['Atropine', 'Pacemaker', 'LVAD', 'Heart Transplant', 'Total Artificial Heart']",Harley Graham,multiple,"['S-10-EP-18', 'S-10-EP-19', 'S-10-EP-20', 'S-10-EP-21', 'S-10-EP-21']",You_Be_Illin%27,You Be Illin',Change_of_Heart,Change of Heart,['10']
91,Donald Mercer,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/f/f3/10x15DonaldMercer.png/revision/latest/scale-to-width-down/350?cb=20140331002411,patient,"['Skull fracture', 'MVC Injuries']",[],"['Resuscitation', 'Life Support']",No actor listed.,single,['S-10-EP-15'],Throwing_it_All_Away,Throwing it All Away,Throwing_it_All_Away,Throwing it All Away,['10']
92,Michael,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/7/73/817Michael.png/revision/latest/scale-to-width-down/350?cb=20140916062501,patient,['Car accident injuries'],[],['Mechanical ventilation'],No actor listed.,single,['S-8-EP-17'],One_Step_Too_Far,One Step Too Far,One_Step_Too_Far,One Step Too Far,['8']
94,Timothy Miller,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/8/8e/508TimothyMiller.png/revision/latest/scale-to-width-down/350?cb=20130505230312,patient,"['Crush injuries', 'Open fractures', 'Open femur fracture', 'Posterior hip dislocation']",[],['Surgery'],Ed Lauter,single,['S-5-EP-8'],These_Ties_That_Bind,These Ties That Bind,These_Ties_That_Bind,These Ties That Bind,['5']
95,Dan Mooney,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/e/e8/6x18CaptainDan.png/revision/latest/scale-to-width-down/350?cb=20130828100126,patient,"['Arm injury', 'Neck laceration']",[],['Tourniquet'],Richard T. Jones,single,['S-6-EP-18'],Suicide_is_Painless,Suicide is Painless,Suicide_is_Painless,Suicide is Painless,['6']
97,Reilly Nash,andy,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/3/3e/7x09ReillyNash.png/revision/latest/scale-to-width-down/350?cb=20130828215051,patient,['Traumatic crash injuries'],[],['No treatment available'],Masam Holden,single,['S-7-EP-9'],"Slow_Night,_So_Long","Slow Night, So Long","Slow_Night,_So_Long","Slow Night, So Long",['7']
99,Phillip Nichols,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/a/a1/6x15PhillipNichols.png/revision/latest/scale-to-width-down/350?cb=20130822135158,patient,"['Hernia', 'Cryptococcus', 'AIDS', ""Kaposi's sarcoma"", 'Intussusception', 'Pneumocystis pneumonia']",[],"['Antibiotics', 'Surgery']",Ian Jensen,single,['S-6-EP-15'],The_Time_Warp,The Time Warp,The_Time_Warp,The Time Warp,['6']
100,Nick,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/8/8e/8x23-16.png/revision/latest/scale-to-width-down/333?cb=20130420203415,patient,"['Osteosarcoma', 'Intradural mets', 'Cardiac tumor']",[],['No treatment available'],Jordan Belfi,multiple,['S-8-EP-23'],Let_the_Bad_Times_Roll,Let the Bad Times Roll,Migration,Migration,['8']
101,Benjamin O'Leary,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/3/33/302BenjaminO%27Leary.png/revision/latest/scale-to-width-down/350?cb=20130415032605,patient,['Brain tumor'],[],['Tumor resection'],Peter Paige,single,['S-3-EP-2'],I_Am_a_Tree,I Am a Tree,I_Am_a_Tree,I Am a Tree,['3']
102,George O'Malley,mostly_male,major,https://vignette.wikia.nocookie.net/greysanatomy/images/5/52/5x24-2.jpg/revision/latest/scale-to-width-down/350?cb=20150430232651,intern resident,['No diagnosis available'],"['<h3><span class=""mw-headline"" id=""Death"">Death</span><span class=""editsection""><a href=""/wiki/George_O%27Malley?action=edit&amp;section=10"" title=""Edit Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>After he joined the army to be a trauma surgeon, Richard gave him the last day in the hospital off to spend time with his family. On his way home, George jumped in front of a bus to save <a href=""/wiki/Amanda"" title=""Amanda"">a woman\'s</a> life. No one knew who he was because he was unrecognizable until Meredith went into check on ""John Doe"". George took her hand and traced \'007\'. Meredith quickly figured out that it was, in fact, George. Many people didn\'t believe that it was George because there was no proof that he really did trace 007. <a href=""/wiki/Callie_Torres"" title=""Callie Torres"">Callie Torres</a> remembered that George had a birthmark on his hand that looked like Texas, so she went to check and found his birthmark on his hand. His brain swelled during surgery and he was ultimately declared brain dead. Most of his organs were donated following the surgery.\n</p><p>He was mentioned again when his mother was admitted to Seattle Grace Mercy West following a botched operation at another hospital. It is during her surgery that Miranda Bailey admitted to Meredith that George was her favorite intern.\n</p>']",['No treatment available'],T.R. Knight,multiple,"['S-1-EP-1', 'S-1-EP-4', 'S-1-EP-7', 'S-1-EP-2', 'S-1-EP-5', 'S-1-EP-8', 'S-1-EP-3', 'S-1-EP-6', 'S-1-EP-9', 'S-2-EP-1', 'S-2-EP-10', 'S-2-EP-19', 'S-2-EP-2', 'S-2-EP-11', 'S-2-EP-20', 'S-2-EP-3', 'S-2-EP-12', 'S-2-EP-21', 'S-2-EP-4', 'S-2-EP-13', 'S-2-EP-22', 'S-2-EP-5', 'S-2-EP-14', 'S-2-EP-23', 'S-2-EP-6', 'S-2-EP-15', 'S-2-EP-24', 'S-2-EP-7', 'S-2-EP-16', 'S-2-EP-25', 'S-2-EP-8', 'S-2-EP-17', 'S-2-EP-26', 'S-2-EP-9', 'S-2-EP-18', 'S-2-EP-27', 'S-3-EP-1', 'S-3-EP-10', 'S-3-EP-19', 'S-3-EP-2', 'S-3-EP-11', 'S-3-EP-20', 'S-3-EP-3', 'S-3-EP-12', 'S-3-EP-21', 'S-3-EP-4', 'S-3-EP-13', 'S-3-EP-22', 'S-3-EP-5', 'S-3-EP-14', 'S-3-EP-23', 'S-3-EP-6', 'S-3-EP-15', 'S-3-EP-24', 'S-3-EP-7', 'S-3-EP-16', 'S-3-EP-25', 'S-3-EP-8', 'S-3-EP-17', 'S-3-EP-9', 'S-3-EP-18', 'S-4-EP-1', 'S-4-EP-7', 'S-4-EP-13', 'S-4-EP-2', 'S-4-EP-8', 'S-4-EP-14', 'S-4-EP-3', 'S-4-EP-9', 'S-4-EP-15', 'S-4-EP-4', 'S-4-EP-10', 'S-4-EP-16', 'S-4-EP-5', 'S-4-EP-11', 'S-4-EP-17', 'S-4-EP-6', 'S-4-EP-12', 'S-5-EP-1', 'S-5-EP-9', 'S-5-EP-17', 'S-5-EP-2', 'S-5-EP-10', 'S-5-EP-18', 'S-5-EP-3', 'S-5-EP-11', 'S-5-EP-19', 'S-5-EP-4', 'S-5-EP-12', 'S-5-EP-20', 'S-5-EP-5', 'S-5-EP-13', 'S-5-EP-21', 'S-5-EP-6', 'S-5-EP-14', 'S-5-EP-22', 'S-5-EP-7', 'S-5-EP-15', 'S-5-EP-23', 'S-5-EP-8', 'S-5-EP-16', 'S-5-EP-24', 'S-6-EP-1', 'S-6-EP-1']",A_Hard_Day%27s_Night,A Hard Day's Night,Good_Mourning,Good Mourning,"['1', '2', '3', '4', '5', '6']"
103,Harold O'Malley,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/6/6d/308HaroldO%27Malley.png/revision/latest/scale-to-width-down/350?cb=20130419003926,family,['No diagnosis available'],[],['No treatment available'],George Dzundza,multiple,"['S-2-EP-9', 'S-3-EP-10', 'S-3-EP-11', 'S-3-EP-12', 'S-3-EP-7', 'S-3-EP-8', 'S-3-EP-9', 'S-3-EP-12']",Thanks_for_the_Memories,Thanks for the Memories,"Six_Days,_Part_2","Six Days, Part 2","['2', '3']"
104,Bradley Parker,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/5/5b/9x17BradleyParker.png/revision/latest/scale-to-width-down/350?cb=20130323203338,patient,"['Amyotrophic lateral sclerosis', 'Hematochezia']",[],['Mechanical ventilation'],Logan Fahey,single,['S-9-EP-17'],Transplant_Wasteland,Transplant Wasteland,Transplant_Wasteland,Transplant Wasteland,['9']
106,Charles Percy,male,major,https://vignette.wikia.nocookie.net/greysanatomy/images/3/33/6x23CharlesPercy.png/revision/latest/scale-to-width-down/350?cb=20130716104401,intern resident,['No diagnosis available'],"['<h3><span class=""mw-headline"" id=""Death"">Death</span><span class=""editsection""><a href=""/wiki/Charles_Percy?action=edit&amp;section=12"" title=""Edit Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<figure class=""article-thumb tleft show-info-icon"" style=""width: 180px""> \t<a href=""https://vignette.wikia.nocookie.net/greysanatomy/images/e/e8/CharlesDying.jpg/revision/latest?cb=20130201040108"" \tclass=""image image-thumbnail"" \t \t \t><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" \t alt=""CharlesDying""  \tclass=""thumbimage lzy lzyPlcHld "" \t \tdata-image-key=""CharlesDying.jpg"" \tdata-image-name=""CharlesDying.jpg"" \t data-src=""https://vignette.wikia.nocookie.net/greysanatomy/images/e/e8/CharlesDying.jpg/revision/latest/scale-to-width-down/180?cb=20130201040108""  \t width=""180""  \t height=""99""  \t \t \t onload=""if(typeof ImgLzy===&#39;object&#39;){ImgLzy.load(this)}""  \t><noscript><img src=""https://vignette.wikia.nocookie.net/greysanatomy/images/e/e8/CharlesDying.jpg/revision/latest/scale-to-width-down/180?cb=20130201040108"" \t alt=""CharlesDying""  \tclass=""thumbimage "" \t \tdata-image-key=""CharlesDying.jpg"" \tdata-image-name=""CharlesDying.jpg"" \t \t width=""180""  \t height=""99""  \t \t \t \t></noscript></a>  \t<figcaption> \t\t \t\t\t<a href=""/wiki/File:CharlesDying.jpg"" class=""sprite info-icon""></a> \t\t \t\t \t\t \t\t\t<p class=""caption"">Miranda Bailey holding Charles\' hand while he passes away.</p> \t\t \t</figcaption> </figure>When <a href=""/wiki/Gary_Clark"" title=""Gary Clark"">Gary Clark</a> came into the hospital intending to shoot <a href=""/wiki/Derek_Shepherd"" title=""Derek Shepherd"">Derek Shepherd</a>, <a href=""/wiki/Richard_Webber"" title=""Richard Webber"">Richard Webber</a>, and <a href=""/wiki/Lexie_Grey"" title=""Lexie Grey"">Lexie Grey</a>, he also shot Charles. Charles was working on the case of <a href=""/wiki/Mary_Portman"" title=""Mary Portman"">Mary Portman</a>. After the lockdown was announced, he came into Mary\'s room, telling them that the shooter was on the floor. When Bailey saw Clark shoot a security guard and start heading their way, she told Charles to hide and Mary to play dead. Clark came into the room. After seeing that Mary appeared dead, he was leaving when he heard a sound coming from the bathroom. He opened the door and when he saw Charles, he asked if he was a surgeon. When Charles said he was, Clark shot him. After Clark left, Bailey started to treat Charles with Mary\'s help.\xc2\xa0<i>(""<a href=""/wiki/Sanctuary"" title=""Sanctuary"">Sanctuary</a>"")</i>\n<p>They packed his wound but it wasn\'t holding, so Bailey said they needed to get him to an OR. They put him on a sheet and dragged him out to the elevator, but when they got there, they realized the elevators had been turned off because of the lockdown and then Bailey concluded that Charles would die. She made good on his promise to tell him if that was going to happen and said that he didn\'t need to be scared because they\'d be with him while it happened. When he stopped feeling pain, he knew it was a bad sign. He then asked Bailey to find Reed, not knowing that she was already dead, and tell her that he loved her. He also told her to tell her he was brave. Bailey told him he was very brave. He then took told Bailey she was his favorite doctor and died. <i>(""<a href=""/wiki/Death_and_All_His_Friends"" title=""Death and All His Friends"">Death and All His Friends</a>"")</i>\n</p>']",['No treatment available'],Robert Baker,multiple,"['S-6-EP-9', 'S-6-EP-18', 'S-6-EP-11', 'S-6-EP-5', 'S-6-EP-13', 'S-6-EP-21', 'S-6-EP-6', 'S-6-EP-23', 'S-6-EP-8', 'S-6-EP-16', 'S-6-EP-24', 'S-8-EP-13', 'S-12-EP-11', 'S-12-EP-11']",Invasion,Invasion,Unbreak_My_Heart,Unbreak My Heart,"['6', '8', '12']"
108,Mr. Peterson,andy,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/b/b1/11x01MrPeterson.png/revision/latest/scale-to-width-down/350?cb=20140929054232,patient,['Head injury'],[],['Surgery'],No actor listed.,single,['S-11-EP-1'],I_Must_Have_Lost_It_on_the_Wind,I Must Have Lost It on the Wind,I_Must_Have_Lost_It_on_the_Wind,I Must Have Lost It on the Wind,['11']
109,Thomas Peterson,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/5/5b/815ThomasPeterson.png/revision/latest/scale-to-width-down/350?cb=20140915020335,patient,"['Intestinal perforation', 'Patent ductus ateriosis', 'Necrotizing enterocolitis', 'Congestive heart failure', 'Brain bleed', 'Pericardial tumor', 'Hip displasia', 'Sepsis', 'Ileocolic fistula', 'Post-hemorrhagic hydrocephalus', 'Retinopathy of prematurity']","['<h3><span class=""mw-headline"" id=""Death"">Death</span><span class=""editsection""><a href=""/wiki/Thomas_Peterson?action=edit&amp;section=4"" title=""Edit Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>A few weeks later, an x-ray revealed that Tommy\'s NEC had returned. Arizona was reluctant to operate, but Morgan insisted, so she took him into surgery, but once she was in there, she saw that almost all of his bowel was necrotic, so she closed. She explained the situation to Morgan, informing her that it was time to say goodbye. In the NICU, Alex disconnected all of Tommy\'s machines and allowed Morgan to hold him while he died. <i>(""<a href=""/wiki/Moment_of_Truth"" title=""Moment of Truth"">Moment of Truth</a>"")</i>\n</p>\n<h2><span class=""mw-headline"" id=""Relationships"">Relationships</span><span class=""editsection""><a href=""/wiki/Thomas_Peterson?action=edit&amp;section=5"" title=""Edit Relationships section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h2>\n<h3><span class=""mw-headline"" id=""Familial"">Familial</span><span class=""editsection""><a href=""/wiki/Thomas_Peterson?action=edit&amp;section=6"" title=""Edit Familial section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>When Thomas was born, he was very sick. As such, his father felt they shouldn\'t try to prolong his life as his chances of survival were so low. His father ultimately left him in the care of his mother, Morgan. Morgan continued to fight for Tommy until they reached a point where there was nothing more they could do and they disconnected all the machines and allowed Morgan to hold him while he died.\n</p>']","['Surgery', 'Indomethacin', 'Bowel resection', 'Harness', 'Ventriculostomy']",No actor listed.,multiple,"['S-8-EP-17', 'S-8-EP-18', 'S-8-EP-21', 'S-8-EP-15', 'S-8-EP-16', 'S-8-EP-21']",Have_You_Seen_Me_Lately%3F,Have You Seen Me Lately?,Moment_of_Truth,Moment of Truth,['8']
111,Diane Pierce,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/1/11/13x12-12.jpg/revision/latest/scale-to-width-down/350?cb=20170210232926,family,['No diagnosis available'],"['<h3><span class=""mw-headline"" id=""Clinical_Trial_and_Death"">Clinical Trial and Death</span><span class=""editsection""><a href=""/wiki/Diane_Pierce?action=edit&amp;section=6"" title=""Edit Clinical Trial and Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>After her mastectomy, Diane got the news that her cancer had spread. She had surgery to remove more cancer from her body and continued to have radiation and chemotherapy. When she complained of stomach pain, Meredith ordered a new CT, which showed a met near her liver, which was causing the pain. When Meredith advised against removing it, Maggie pressured Diane to fire her. Maggie then found a clinical trial with promising early results that she could get into if they could lower her LFTs. Bailey figured out a way to place a stent to lower Diane\'s LFTs and get her into the trial. The procedure worked, but Bailey, Richard, and Jackson didn\'t think the trial was a good idea. Despite this and Richard advising Diane that it wasn\'t a good idea, Maggie pushed forward and Diane supported her, believing Maggie wouldn\'t do anything to hurt her.\n</p><p>Once on the treatment, Diane had multiple side effects. She got an infection in her arm and blood built up. She had to have fluid aspirated from her back, but she eventually started to feel a little better. She taught Maggie to make her lasagna and told Maggie to invite all her friends over to have dinner together. At the dinner, Diane started coughing heavily. She soon coughed up some blood and they rushed her to the hospital. She had a tear in her esophagus, which Richard repaired with difficulty. Maggie wanted to get her up and moving again after the surgery as soon as possible, because she\'d lose her spot in the trial if she missed a treatment. Richard went and talked to Diane privately, to tell her she didn\'t have to keep going with the treatment if she didn\'t want to. She told him Maggie was a gift to her and if she died, it would give Maggie darkness not to know she did everything she could and she didn\'t want to do that. Richard told her Maggie was strong and she could handle it. Maggie tried to call around to find newer treatment possibilities for her mother, but Diane told her it was time to stop fighting.\n</p>']",['No treatment available'],LaTanya Richardson Jackson,multiple,"['S-13-EP-17', 'S-13-EP-18', 'S-13-EP-12', 'S-13-EP-18']",None_of_Your_Business,None of Your Business,"Be_Still,_My_Soul","Be Still, My Soul",['13']
